run_id,n_trucks,ls_nmse,seed_nmse,aug_nmse
18,36,4.5738,-12.5379,-12.7358
19,38,4.5726,-12.4664,-12.8038
20,40,4.5871,-12.5109,-12.8692
21,42,4.6206,-13.7841,-13.6375
