bin_label,n_users,ls_nmse_db,seed_nmse_db,aug_nmse_db,ceiling_db
0–0.1,489,4.6144227369452135,-12.575200886215656,-13.194690678093517,-12.634666159406809
0.1–2,36,4.754580216020919,-11.896169094353894,-12.806064482542382,-12.634666159406809
2–5,20,6.596770886606921,-11.494879948697596,-10.585327937743907,-12.634666159406809
5–10,77,7.859059301968761,-7.342062500184143,-9.1456161291275,-12.634666159406809
10–20,155,13.276435019462973,-0.34001599491819884,-6.84607623557439,-12.634666159406809
>20,0,,,,-12.634666159406809
