bin_label,n_users,ls_nmse_db,seed_nmse_db,aug_nmse_db,ceiling_db
0–0.1,0,,,,-12.634666159406809
0.1–2,0,,,,-12.634666159406809
2–5,1,6.545125626646319,25.050638140533522,31.186867011060393,-12.634666159406809
5–10,9,9.455432066117972,18.275522344008888,24.34664502260673,-12.634666159406809
10–20,49,15.470655815278253,3.740796585573985,-3.79720173752667,-12.634666159406809
>20,930,27.38410152061047,15.590627404281246,7.480699849799761,-12.634666159406809
