snr,split_type,user_noise,train_nmse,test_nmse_val,test_nmse_train
5.0,LS,3.0,3.543934237410031,3.543934237410031,3.543934237410031
-5.0,LS,3.0,6.8757092217209514,6.8757092217209514,6.8757092217209514
5.0,LS,3.0,3.543934237410031,3.543934237410031,3.543934237410031
0.0,LS,3.0,4.595204236901346,4.595204236901346,4.595204236901346
-5.0,LS,3.0,6.8757092217209514,6.8757092217209514,6.8757092217209514
-10.0,LS,3.0,10.497105526576721,10.497105526576721,10.497105526576721
0.0,LS,3.0,4.595204236901346,4.595204236901346,4.595204236901346
5.0,bloc,3.0,-13.6582303804125,-5.283982697328659,-4.467836838307528
-5.0,random,3.0,-11.80837382922106,-10.596372928256699,-9.102682567081317
5.0,random,3.0,-12.188229228434453,-11.800721938233231,-11.852123788807827
0.0,random,3.0,-12.165857642171732,-11.464795639123222,-11.532847359482831
-5.0,bloc,3.0,-12.443294071471659,-1.1245695269952483,-1.5356176192304645
-10.0,bloc,3.0,-11.867284351709246,-0.982237717507432,-1.014622252944121
0.0,bloc,3.0,-7.116104769582357,-0.8554987035733631,-3.3589127294203065
