user_global_idx,attenuation_db,seed_nmse_db,aug_nmse_db
6490,12.214393001473828,92.21562,96.67749
8609,0.0002613651549110952,2.9197457,5.7063847
9855,10.216245759443023,-3.514782,-7.4034734
8070,23.487390577422687,37.16125,41.649517
8577,0.00043601205713535813,3.7225852,6.779579
7973,14.803313030723746,27.955036,32.462803
1625,2.7724641153488443e-05,16.161882,20.591236
536,20.648686588953275,6.3064537,-0.47019723
8766,-3.2150089507032083e-09,2.2071834,4.90503
7970,14.945272451751448,32.360653,36.885162
4212,-4.2206780990901855e-10,22.68534,27.174854
6456,11.420502047893544,91.027084,95.50106
3507,2.5249275354270705e-10,34.2937,38.808517
8393,21.822767353062275,35.862003,40.370235
7112,0.41276704274728737,30.105848,34.61049
2708,33.563109372670425,62.320374,66.808426
5031,31.625620700401875,15.284911,17.43618
6514,38.67972728576231,91.61824,96.10277
4662,55.694457435180844,62.303665,66.800514
4021,10.923468742711018,37.58134,42.102066
1854,19.859604967558216,1.3858685,-1.9945337
9309,44.15977403812127,28.659163,30.991776
2872,11.088838556876386,7.9598784,11.8280735
3030,42.57492374279546,23.79829,21.074604
1645,-0.4717442115958314,14.436489,18.803228
3417,3.4207106043839903e-09,37.81342,42.304817
3476,-6.965776060470304e-10,35.57177,40.059242
9434,28.206333287597765,10.214403,10.175623
1792,32.793069706731494,18.843319,21.57415
3797,7.52520051332958,36.766037,41.282753
3368,7.895580463115923,48.317955,52.799362
7196,0.5019722515225289,26.757765,31.248348
9521,27.17155778579078,6.333145,3.9287565
5109,39.55013546334968,58.879196,63.427128
6024,50.31696077486267,108.94324,113.41577
8795,5.186886003688417e-10,1.8651628,4.492792
9179,21.947660434240277,11.90184,15.56046
126,25.709604924943363,52.494713,57.00734
5959,58.44255415252054,117.35794,121.83356
3876,7.687616585939061,36.19007,40.708176
4451,21.892463919342042,37.56413,42.103733
7147,0.4193192623614622,28.80096,33.284336
3531,1.9646918504872304e-10,33.427586,37.936848
827,-2.1953360802024247e-07,-11.403852,-13.148784
7790,7.281532055283153,19.614529,24.136364
984,10.131779608457155,-3.3915071,-2.742042
7783,7.739662073895972,20.189283,24.71115
2443,29.95133190345468,62.87236,67.36162
8554,0.0005581106769903177,4.5310087,7.932031
345,46.6080074528536,27.942362,27.064587
814,1.4657181512502074e-08,-8.057548,-7.9620714
6166,22.00012796359188,86.42302,90.91464
5779,24.69174274801223,64.60103,69.10609
2116,17.880466217536526,-0.0806775,-0.44090915
793,-1.4238864808880146e-07,-7.9959497,-8.032825
6898,28.976106009655282,68.02613,72.520645
2674,33.04356029546891,65.587585,70.10723
94,15.903288809847725,44.26826,48.784973
4225,1.8171912138499015e-09,21.177158,25.66788
3756,12.415891592639618,43.01191,47.530487
2891,15.470932181702427,10.833074,14.959512
2371,5.952368118012118,37.102657,41.595055
9313,47.43404855668386,31.321705,33.02097
3228,30.807021928788263,65.29247,69.78614
7863,2.5645164092027803,12.620564,16.964666
6359,65.23043964078398,128.66103,133.13351
9081,6.860741314130735,2.1514454,3.8285246
7326,0.6394941876616216,23.59583,28.083096
6028,72.3063292507561,131.11726,135.57674
1865,19.4973500248407,1.7841886,-1.4967098
4612,45.786435547613664,55.63936,60.14662
2645,26.6497362887348,59.394665,63.915554
2243,63.45032645453939,44.15673,39.807655
5373,19.025904088800488,55.646954,60.145927
2336,100.79333547634106,82.54044,81.50931
950,13.71440914306097,-2.8890386,-2.1563694
1120,0.012586172707076926,-2.303444,-2.6886556
2204,16.253740960358225,-1.6427451,-3.170314
419,32.10186301994851,14.6054535,14.470273
922,19.171183131144343,0.54114336,0.015157709
8669,0.00036449450984679514,3.2523534,6.2069564
5408,19.490834487384458,26.619776,31.103004
5788,33.30284108206469,71.69826,76.20041
5742,30.222432816522883,43.673588,48.203297
7667,19.04111274158785,33.01465,37.532852
5567,37.54366466815455,49.8328,54.386772
8135,13.783131850561999,27.547161,32.064346
1202,13.68362730110898,1.1664076,-9.489199
5765,32.84251439052948,55.841007,60.360214
8389,16.703417965820215,30.512291,35.03294
1970,45.449105388954266,26.957438,25.078218
4018,8.882424863737825,35.592934,40.11053
3687,15.81073111582143,44.105347,48.59439
1997,37.47655338862814,21.72903,9.948038
4033,12.352613527095045,38.84045,43.373276
1248,4.094230583373491,-12.134832,-13.81711
2192,10.121551369668849,-6.3170643,-6.348793
2712,25.52859423485109,57.687878,62.187305
2190,15.970846176507056,-1.5432572,-3.2453778
4670,38.6673519913493,44.174267,48.70172
5142,29.607495166137518,41.473022,45.976906
5984,27.329669785489767,92.52209,97.015
6565,39.291090773812634,73.0896,77.59893
7804,6.3966439601677205,18.331606,22.843517
6943,26.230383076416807,63.254738,67.78363
2136,-0.025401103225189806,-8.488968,-6.934514
1065,6.261710107265312,-4.198429,-4.1112413
600,21.57142724348672,5.2336855,5.976293
4227,-1.1296373026540985e-09,21.084383,25.516056
7577,7.93434095221985,24.58744,29.064098
77,22.265538308357623,6.149779,5.7372565
7546,8.371050288872983,24.957428,29.465761
2898,17.788230958689354,11.953063,16.148746
4820,30.886792250044188,11.860943,9.977911
9187,27.23378652876103,16.67441,20.511055
6413,36.88850071187902,116.07174,120.55358
8007,25.271730889744827,39.60657,44.12809
5468,26.362821986530875,41.718655,46.256977
5951,86.22384992921613,145.0479,149.51947
3391,11.34757962777341,50.852352,55.357002
5415,14.499966124615957,21.644772,26.117144
2560,29.81860832750904,63.66931,68.16055
8162,9.539893931252678,22.493286,26.959333
2635,27.08261263153327,59.910084,64.402374
5256,38.713215161655924,73.02792,77.559296
3530,-3.704167433648159e-09,33.463306,37.968758
8567,0.0004304562630596993,3.6964822,6.8776965
1908,25.05921211514645,5.185152,1.6538137
235,23.48455803096676,15.58642,19.830166
1604,0.25501817347565925,16.193117,20.663326
7984,10.950999343009082,26.055004,30.584982
3490,2.896411547165082e-09,34.962643,39.470535
1994,30.63465505742454,12.881771,5.2456
2824,9.476955377466414,7.084336,10.950766
9170,19.37756880680199,9.563803,13.253544
1342,10.055768368985717,-2.7821007,-2.861922
8512,0.00039037524192691865,3.8703127,7.058795
1619,-3.017026632130427e-07,16.488749,20.91976
5287,23.30833798812253,57.44278,61.95923
2060,38.853000799643006,29.05797,33.12566
9832,11.74300136341466,-1.1105063,-5.4590693
2219,26.124282882825426,5.218186,1.9694977
6038,52.22804021821405,111.44065,115.9225
260,27.195516450010594,7.7810707,6.0169144
9250,39.200380001726344,26.456753,30.035189
3744,15.690082735877,45.951447,50.466885
2026,33.81642549904932,15.786305,14.450197
6988,12.303213880457749,47.37314,51.84803
4234,-5.612241206256411e-11,20.734806,25.209267
1917,18.175714319058358,0.8968329,-1.8473601
1828,21.695697238198726,2.4574294,0.93163216
6233,6.803835378474689,62.681637,67.15186
9217,32.2734095143276,18.459108,21.724277
6283,70.19296805213709,132.19203,136.66992
4208,-2.7987459097114127e-09,22.769537,27.247898
224,39.78463552700817,32.306614,36.45566
8915,19.503641290573576,15.605483,19.944122
6469,8.336550322664781,88.07309,92.55994
9297,45.94258232164869,31.323814,34.21131
846,-3.203824701297704e-07,-11.255629,-13.190656
4289,-1.5633045256084968e-09,18.900114,23.39916
5560,30.58264369171699,43.792076,48.31991
2551,26.94885215523918,60.31328,64.80986
117,25.377677035093456,52.119427,56.64042
8837,1.3315450995649627e-08,1.3923295,3.932638
5966,28.708288857033864,93.99006,98.464775
8195,17.250366617341456,28.781643,33.282608
8659,0.00032826643635951755,3.3284628,6.3334494
7489,4.849439441541713,23.78834,28.29421
5,28.121127499473634,9.607409,8.967821
5342,29.193962574115417,55.485516,59.95833
4324,3.735443945348482e-09,18.74078,23.22983
1063,19.998784098201206,1.7695771,0.98942167
2590,24.606493814215074,57.62278,62.136795
8434,0.01159758464462159,15.036412,19.475376
3735,19.118676314360012,48.919823,53.44906
3517,-1.0971881655599945e-09,33.92893,38.430412
6986,7.632207002326259,42.71139,47.26635
6767,21.23720368287899,69.81796,74.29648
5622,35.17959918732841,46.116173,50.66735
1605,-0.08136817907374305,15.567961,19.986893
1733,2.511104859982861e-06,5.211261,8.27812
9226,23.383967278112596,10.237046,13.335989
3812,19.632591763507794,48.765884,53.270798
9504,43.781879740668586,24.226097,22.284168
1761,30.96050449875966,33.127804,37.62407
5401,13.613164841236642,20.206581,24.705236
2739,27.14017675811298,59.216133,63.716377
2472,27.920748321825947,60.482193,64.99497
6738,34.749416959996196,86.12809,90.6008
6891,41.30472646770829,80.70241,85.198814
7943,0.450982984808335,18.70667,23.178827
4206,-1.6056196970200262e-09,22.832005,27.324715
6371,89.90285656987908,153.47987,157.96524
232,15.460368293494602,4.6401362,7.2784305
8258,12.217502545477377,22.399143,26.920338
7561,4.8234181906788995,21.370066,25.884974
6168,34.0582497031106,98.50693,102.96577
