x y z
110.6850 47.1671 2.0000
110.6180 47.1649 2.0000
110.5510 47.1627 2.0000
110.4850 47.1606 2.0000
110.4180 47.1585 2.0000
110.3510 47.1564 2.0000
110.2850 47.1544 2.0000
110.2180 47.1525 2.0000
110.1520 47.1505 2.0000
110.0850 47.1486 2.0000
110.0180 47.1468 2.0000
109.9520 47.1450 2.0000
109.8850 47.1432 2.0000
109.8180 47.1415 2.0000
109.7520 47.1398 2.0000
109.6850 47.1381 2.0000
109.6180 47.1365 2.0000
109.5520 47.1349 2.0000
109.4850 47.1334 2.0000
109.4180 47.1319 2.0000
109.3520 47.1305 2.0000
109.2850 47.1291 2.0000
109.2180 47.1277 2.0000
109.1520 47.1264 2.0000
109.0850 47.1251 2.0000
109.0190 47.1238 2.0000
108.9520 47.1227 2.0000
108.8850 47.1215 2.0000
108.8190 47.1204 2.0000
108.7520 47.1193 2.0000
108.6850 47.1183 2.0000
108.6190 47.1173 2.0000
108.5520 47.1164 2.0000
108.4850 47.1155 2.0000
108.4190 47.1146 2.0000
108.3520 47.1138 2.0000
108.2850 47.1131 2.0000
108.2190 47.1123 2.0000
108.1520 47.1117 2.0000
108.0850 47.1110 2.0000
108.0190 47.1104 2.0000
107.9520 47.1099 2.0000
107.8850 47.1094 2.0000
107.8190 47.1090 2.0000
107.7520 47.1086 2.0000
107.6850 47.1082 2.0000
107.6190 47.1079 2.0000
107.5520 47.1076 2.0000
107.4850 47.1074 2.0000
107.4190 47.1072 2.0000
107.3520 47.1071 2.0000
107.2850 47.1070 2.0000
107.2190 47.1070 2.0000
107.1520 47.1070 2.0000
107.0850 47.1071 2.0000
107.0190 47.1072 2.0000
106.9520 47.1073 2.0000
106.8850 47.1075 2.0000
106.8190 47.1078 2.0000
106.7520 47.1081 2.0000
106.6850 47.1084 2.0000
106.6190 47.1088 2.0000
106.5520 47.1093 2.0000
106.4850 47.1098 2.0000
106.4190 47.1103 2.0000
106.3520 47.1109 2.0000
106.2850 47.1115 2.0000
106.2190 47.1122 2.0000
106.1520 47.1130 2.0000
106.0850 47.1138 2.0000
106.0190 47.1146 2.0000
105.9520 47.1155 2.0000
105.8850 47.1164 2.0000
105.8190 47.1174 2.0000
105.7520 47.1185 2.0000
105.6850 47.1196 2.0000
105.6190 47.1207 2.0000
105.5520 47.1219 2.0000
105.4850 47.1232 2.0000
105.4190 47.1245 2.0000
105.3520 47.1258 2.0000
105.2850 47.1272 2.0000
105.2190 47.1287 2.0000
105.1520 47.1302 2.0000
105.0850 47.1318 2.0000
105.0190 47.1334 2.0000
104.9520 47.1350 2.0000
104.8860 47.1368 2.0000
104.8190 47.1385 2.0000
